SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1763763601.702400, -0.041899, 0.043844, -9.757868, -0.002206, 0.003373, -0.002808
1763763601.712037, -0.036362, 0.025588, -9.811438, -0.003595, 0.003692, -0.001683
1763763601.722384, -0.040701, 0.019752, -9.790340, -0.003204, 0.004053, -0.001502
1763763601.732386, -0.040701, 0.019752, -9.790340, -0.003204, 0.004053, -0.001502
1763763601.742384, -0.054318, 0.026935, -9.785850, -0.004018, 0.002167, -0.002616
1763763601.752268, -0.042946, 0.027833, -9.779715, -0.003225, 0.002703, -0.002593
1763763601.762030, -0.042946, 0.027833, -9.779715, -0.003225, 0.002703, -0.002593
1763763601.772090, -0.035614, 0.026785, -9.798570, -0.002622, 0.002197, -0.002759
1763763601.782400, -0.035913, 0.027234, -9.758018, -0.003931, 0.002119, -0.002670
1763763601.792320, -0.046986, 0.019004, -9.768043, -0.001938, 0.001449, -0.002770
1763763601.802397, -0.033369, 0.018854, -9.797971, -0.002006, 0.003055, -0.001439
1763763601.812050, -0.040552, 0.027384, -9.781361, -0.002819, 0.003665, -0.001768
1763763601.822390, -0.036063, 0.024989, -9.765649, -0.001725, 0.002751, -0.003239
1763763601.832227, -0.050278, 0.035165, -9.792734, -0.004281, 0.003357, -0.002647
1763763601.841766, -0.037409, 0.024840, -9.779865, -0.004281, 0.003357, -0.002647
1763763601.852387, -0.052672, 0.032920, -9.759514, -0.003005, 0.003343, -0.003814
1763763601.862058, -0.039953, 0.019303, -9.803059, -0.002908, 0.002367, -0.002186
1763763601.872391, -0.042647, 0.012570, -9.781212, -0.001800, 0.004209, -0.001449
1763763601.882388, -0.056563, 0.032621, -9.805902, -0.004530, 0.003933, -0.001929
1763763601.892385, -0.034417, 0.022296, -9.754277, -0.000593, 0.002710, -0.002209
1763763601.902408, -0.042198, 0.035015, -9.805603, -0.005671, 0.001916, -0.003989
1763763601.912064, -0.029479, 0.008679, -9.787197, -0.003164, 0.002773, -0.002423
1763763601.922399, -0.041300, 0.032621, -9.745149, -0.002766, 0.002385, -0.002546
1763763601.932388, -0.038307, 0.020051, -9.808595, -0.002343, 0.004586, -0.001968
1763763601.942388, -0.038906, 0.023343, -9.776872, -0.002663, 0.002535, -0.003411
1763763601.951760, -0.040552, 0.036661, -9.786150, -0.003806, 0.001849, -0.002929
1763763601.962072, -0.041150, 0.018256, -9.753828, -0.000288, 0.003023, -0.002903
1763763601.972398, -0.033519, 0.026037, -9.823409, -0.002702, 0.003704, -0.001336
1763763601.982390, -0.052074, 0.025438, -9.783606, -0.003041, 0.003348, -0.001755
1763763601.992387, -0.049231, 0.026187, -9.740361, -0.002611, 0.002754, -0.002103
1763763602.002409, -0.041001, 0.016759, -9.765051, -0.002589, 0.002042, -0.002226
1763763602.012081, -0.035314, 0.020800, -9.784204, -0.003235, 0.002050, -0.003189
1763763602.022387, -0.040103, 0.022146, -9.781810, -0.004496, 0.001861, -0.002232
1763763602.032389, -0.050877, 0.032172, -9.745448, -0.002496, 0.003547, -0.001198
1763763602.042384, -0.046537, 0.024690, -9.804256, -0.004936, 0.003711, -0.002237
